,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
444,Isle of Dogs,2018,82.0,7.9,82.0,145177,32.02
445,Wreck-It Ralph,2012,72.0,7.7,72.0,387426,189.42
446,This Is Spinal Tap,1984,92.0,7.9,92.0,131091,0.19
447,The Outlaw Josey Wales,1976,69.0,7.8,69.0,66864,31.8
448,When Harry Met Sally...,1989,76.0,7.6,76.0,200177,92.82
449,JFK,1991,72.0,8.0,72.0,144896,70.41
450,Cool Hand Luke,1967,92.0,8.1,92.0,165050,16.22
451,Close Encounters of the Third Kind,1977,90.0,7.6,90.0,188179,132.09
452,A Bronx Tale,1993,80.0,7.8,80.0,130817,17.27
453,Carlito's Way,1993,65.0,7.9,65.0,204731,36.95
454,Only the Brave,2017,72.0,7.6,72.0,60790,18.34
455,Searching,2018,71.0,7.6,71.0,146188,26.02
456,The Naked Gun: From the Files of Police Squad!,1988,76.0,7.6,76.0,156330,78.76
457,Raging Bull,1980,89.0,8.2,89.0,327774,23.38
458,Planet of the Apes,1968,79.0,8.0,79.0,167534,33.4
459,The Fighter,2010,79.0,7.8,79.0,346193,93.62
460,The Boondock Saints,1999,44.0,7.8,44.0,229555,0.03
461,The Ten Commandments,1956,,7.9,,65779,93.74
462,Lucky Number Slevin,2006,53.0,7.7,53.0,302237,22.49
463,The Magnificent Seven,1960,74.0,7.7,74.0,89168,4.91
464,3:10 to Yuma,2007,76.0,7.7,76.0,293531,53.61
465,Dark City,1998,66.0,7.6,66.0,190479,14.38
466,Donnie Brasco,1997,76.0,7.7,76.0,285686,41.91
467,Enter the Dragon,1973,83.0,7.7,83.0,98539,25.0
468,Fried Green Tomatoes,1991,64.0,7.7,64.0,68528,82.42
469,The Birds,1963,90.0,7.7,90.0,174806,11.4
470,The Best Years of Our Lives,1946,93.0,8.1,93.0,58215,23.65
471,Das Boot,1981,86.0,8.3,86.0,235883,11.49
472,Sling Blade,1996,84.0,8.0,84.0,88392,24.48
473,Die Hard with a Vengeance,1995,58.0,7.6,58.0,368452,100.01
474,Captain Phillips,2013,82.0,7.8,82.0,428903,107.1
475,Wild Tales,2014,77.0,8.1,77.0,182416,3.11
476,In the Name of the Father,1993,84.0,8.1,84.0,161856,25.01
477,Brazil,1985,84.0,7.9,84.0,190431,9.93
478,Billy Elliot,2000,74.0,7.7,74.0,128521,22.0
479,Goldfinger,1964,87.0,7.7,87.0,176851,51.08
480,Blood Simple,1984,83.0,7.6,83.0,89954,2.15
481,Spartacus,1960,87.0,7.9,87.0,126199,30.0
482,Empire of the Sun,1987,62.0,7.7,62.0,117945,22.24
483,Dog Day Afternoon,1975,86.0,8.0,86.0,239896,50.0
484,My Neighbor Totoro,1988,86.0,8.2,86.0,301204,1.11
485,End of Watch,2012,68.0,7.6,68.0,231641,41.0
486,Flipped,2010,45.0,7.7,45.0,83279,1.75
487,"Crouching Tiger, Hidden Dragon",2000,94.0,7.8,94.0,256753,128.08
488,Eastern Promises,2007,82.0,7.6,82.0,231240,17.11
489,Enemy at the Gates,2001,53.0,7.6,53.0,247407,51.4
490,Chungking Express,1994,77.0,8.1,77.0,67447,0.6
491,Glory,1989,78.0,7.8,78.0,125761,26.83
492,The Searchers,1956,94.0,7.9,94.0,82016,
493,The Body,2012,,7.6,,59937,
494,Akira,1988,,8.0,,168966,0.55
495,Hotel Rwanda,2004,79.0,8.1,79.0,338902,23.53
496,Dirty Harry,1971,90.0,7.7,90.0,145925,35.9
497,Toy Story 2,1999,88.0,7.9,88.0,536596,245.85
498,The Girl with the Dragon Tattoo,2009,76.0,7.8,76.0,210698,10.1
499,The Iron Giant,1999,85.0,8.0,85.0,175825,23.16
500,The Color Purple,1985,78.0,7.8,78.0,80320,98.47
501,The Elephant Man,1980,78.0,8.1,78.0,224552,
502,La Haine,1995,,8.1,,155308,0.31
503,Perfect Blue,1997,,8.0,,61741,0.78
504,Monty Python's Life of Brian,1979,77.0,8.1,77.0,373779,20.05
505,Butch Cassidy and the Sundance Kid,1969,66.0,8.0,66.0,204246,102.31
506,Being John Malkovich,1999,90.0,7.7,90.0,317450,22.86
507,Ben-Hur,1959,90.0,8.1,90.0,223223,74.7
508,The Illusionist,2006,68.0,7.6,68.0,358336,39.87
509,This Is England,2006,86.0,7.7,86.0,116908,0.33
510,Gangs of Wasseypur,2012,89.0,8.2,89.0,85814,
511,The Jungle Book,1967,65.0,7.6,65.0,169292,141.84
512,Stalker,1979,,8.1,,120614,0.23
513,Match Point,2005,72.0,7.6,72.0,208705,23.09
514,Sunset Blvd.,1950,,8.4,,205704,
515,Lost Highway,1997,52.0,7.6,52.0,133653,3.8
516,"Blood In, Blood Out",1993,47.0,8.0,47.0,29311,4.5
517,Serpico,1973,87.0,7.7,87.0,112661,29.8
518,The Manchurian Candidate,1962,94.0,7.9,94.0,72131,
519,Singin' in the Rain,1952,99.0,8.3,99.0,223420,8.82
520,The Conversation,1974,85.0,7.8,85.0,101656,4.42
521,Roma,2018,96.0,7.7,96.0,144774,
522,How to Train Your Dragon 2,2014,76.0,7.8,76.0,311037,177.0
523,Let the Right One In,2008,82.0,7.9,82.0,207687,2.12
524,Ghost in the Shell,1995,76.0,8.0,76.0,132316,0.52
525,Bonnie and Clyde,1967,86.0,7.8,86.0,104455,
526,Andhadhun,2018,,8.2,,77280,1.37
527,Judgment at Nuremberg,1961,60.0,8.2,60.0,71344,
528,Clerks,1994,70.0,7.7,70.0,213547,3.15
529,Modern Times,1936,96.0,8.5,96.0,223132,0.16
530,Metropolis,1927,98.0,8.3,98.0,162971,1.24
531,Kagemusha,1980,84.0,8.0,84.0,32970,
532,Lord of War,2005,62.0,7.6,62.0,298080,24.15
533,Awakenings,1990,74.0,7.8,74.0,129175,52.1
534,The Fall,2006,64.0,7.9,64.0,108364,2.28
535,Evil Dead II,1987,72.0,7.7,72.0,150683,5.92
536,Adaptation.,2002,83.0,7.7,83.0,181396,22.25
537,Philadelphia,1993,66.0,7.7,66.0,228288,77.32
538,The Remains of the Day,1993,86.0,7.8,86.0,68189,22.95
539,The Nightmare Before Christmas,1993,82.0,8.0,82.0,304341,75.08
540,Naked,1993,84.0,7.8,84.0,35744,1.77
541,Rushmore,1998,86.0,7.7,86.0,172802,17.11
542,Dogville,2003,60.0,8.0,60.0,140091,1.53
543,Paths of Glory,1957,90.0,8.4,90.0,182382,
544,Before Sunset,2004,90.0,8.1,90.0,242167,5.82
545,The Man Who Shot Liberty Valance,1962,94.0,8.1,94.0,70553,
546,After Hours,1985,90.0,7.7,90.0,62058,10.6
547,Giant,1956,84.0,7.6,84.0,34859,
548,Kung Fu Hustle,2004,78.0,7.7,78.0,129638,17.11
549,The King of Comedy,1982,73.0,7.8,73.0,93020,2.5
550,Ponyo,2008,86.0,7.7,86.0,129222,15.09
551,Glengarry Glen Ross,1992,82.0,7.7,82.0,97529,10.73
552,Withnail & I,1987,84.0,7.6,84.0,41201,1.54
553,The Seventh Seal,1957,88.0,8.2,88.0,169351,
554,The Wrestler,2008,80.0,7.9,80.0,292367,26.24
555,The Man from Earth,2007,,7.9,,177108,
556,Togo,2019,69.0,8.0,69.0,40758,
557,Before Midnight,2013,94.0,7.9,94.0,145146,8.11
558,A Separation,2011,95.0,8.3,95.0,225572,7.1
559,Annie Hall,1977,92.0,8.0,92.0,254733,39.2
560,Hara-Kiri,1962,85.0,8.6,85.0,45351,
561,Mississippi Burning,1988,65.0,7.8,65.0,90621,34.6
562,Solaris,1972,90.0,8.1,90.0,82998,
563,The Right Stuff,1983,91.0,7.8,91.0,57009,21.5
564,Star Trek II: The Wrath of Khan,1982,67.0,7.7,67.0,114340,78.91
565,All the President's Men,1976,84.0,8.0,84.0,105642,70.6
566,Ran,1985,96.0,8.2,96.0,115641,4.14
567,Rebecca,1940,86.0,8.1,86.0,126637,4.36
568,The Name of the Rose,1986,54.0,7.7,54.0,103674,7.15
569,A Fistful of Dollars,1964,65.0,8.0,65.0,201647,14.5
570,Pather Panchali,1955,,8.6,,25357,0.54
571,Witness for the Prosecution,1957,,8.4,,112203,8.18
572,Drishyam 2,2021,,8.7,,26027,
573,Cabaret,1972,80.0,7.8,80.0,49217,42.77
574,Klaus,2019,65.0,8.2,65.0,113282,
575,The Bridge on the River Kwai,1957,87.0,8.1,87.0,206963,44.91
576,Ayla: The Daughter of War,2017,,8.4,,35768,
577,Doctor Zhivago,1965,69.0,8.0,69.0,71146,111.72
578,For a Few Dollars More,1965,74.0,8.2,74.0,237324,15.0
579,Seven Pounds,2008,36.0,7.6,36.0,290121,69.95
580,Miracle in Cell No. 7,2019,,8.2,,39411,
581,A Streetcar Named Desire,1951,97.0,8.0,97.0,100710,8.0
582,Hero,2002,85.0,7.9,85.0,175490,53.71
583,Dancer in the Dark,2000,61.0,8.0,61.0,104053,4.18
584,The Artist,2011,89.0,7.9,89.0,233377,44.67
585,The Raid 2,2014,71.0,8.0,71.0,116239,2.63
586,Ordinary People,1980,86.0,7.7,86.0,48173,54.8
587,Miller's Crossing,1990,66.0,7.7,66.0,127737,5.08
588,Ed Wood,1994,70.0,7.8,70.0,166929,5.89
589,Gandhi,1982,79.0,8.0,79.0,219989,52.77
590,Rebel Without a Cause,1955,89.0,7.7,89.0,85042,
591,Days of Heaven,1978,93.0,7.8,93.0,54159,
592,The Day of the Jackal,1973,80.0,7.8,80.0,38230,16.06
593,The Last Emperor,1987,76.0,7.7,76.0,96537,43.98
594,Ip Man,2008,59.0,8.0,59.0,213893,
595,Like Stars on Earth,2007,,8.4,,175237,1.22
596,Nausicaä of the Valley of the Wind,1984,86.0,8.1,86.0,155344,0.5
597,The Man from Nowhere,2010,,7.8,,64570,0.01
598,Happiness,1998,81.0,7.7,81.0,67229,2.81
599,The Last King of Scotland,2006,74.0,7.7,74.0,177891,17.61
600,The Apartment,1960,94.0,8.3,94.0,167837,18.6
601,The Best Offer,2013,49.0,7.8,49.0,111136,0.09
602,Mother,2009,79.0,7.8,79.0,55592,0.55
603,Malcolm X,1992,73.0,7.7,73.0,88067,48.17
604,Network,1976,83.0,8.1,83.0,147730,
605,Kramer vs. Kramer,1979,77.0,7.8,77.0,136321,106.26
606,Persona,1966,86.0,8.1,86.0,106789,
607,His Girl Friday,1940,,7.9,,54660,0.3
608,Fallen Angels,1995,71.0,7.7,71.0,28814,
609,Amores Perros,2000,83.0,8.1,83.0,227273,5.38
610,The Wild Bunch,1969,97.0,7.9,97.0,78653,12.06
611,The Dirty Dozen,1967,73.0,7.7,73.0,68270,45.3
612,Kiki's Delivery Service,1989,83.0,7.9,83.0,128654,
613,Roman Holiday,1953,78.0,8.0,78.0,129575,
614,Charade,1963,83.0,7.9,83.0,70750,13.47
615,Rio Bravo,1959,93.0,8.0,93.0,57456,12.54
616,On the Waterfront,1954,91.0,8.1,91.0,144807,9.6
617,I Am Sam,2001,28.0,7.6,28.0,144464,40.31
618,Bajrangi Bhaijaan,2015,,8.0,,77890,8.18
619,M,1931,,8.3,,146579,0.03
620,Badlands,1973,93.0,7.8,93.0,67751,
621,Who's Afraid of Virginia Woolf?,1966,75.0,8.0,75.0,70145,
622,The Longest Day,1962,75.0,7.8,75.0,52776,39.1
623,The Taking of Pelham One Two Three,1974,68.0,7.7,68.0,27579,2.49
624,Mary and Max,2009,,8.1,,167351,
625,Finding Neverland,2004,67.0,7.7,67.0,200476,51.68
626,Fiddler on the Roof,1971,67.0,8.0,67.0,40294,80.5
627,Touch of Evil,1958,99.0,8.0,99.0,99720,2.24
628,Sing Street,2016,79.0,7.9,79.0,87050,3.24
629,God's Own Country,2017,85.0,7.7,85.0,26577,0.34
630,8½,1963,91.0,8.0,91.0,110985,0.05
631,Kelly's Heroes,1970,50.0,7.6,50.0,46110,1.38
632,Neon Genesis Evangelion: The End of Evangelion,1997,,8.1,,42020,
633,The Celebration,1998,82.0,8.1,82.0,80223,1.65
634,PK,2014,,8.1,,167661,10.62
635,21 Grams,2003,70.0,7.6,70.0,226967,16.29
636,The Insider,1999,84.0,7.8,84.0,162179,28.97
637,Mommy,2014,74.0,8.1,74.0,52313,3.49
638,The Great Beauty,2013,86.0,7.8,86.0,82841,2.85
639,Short Term 12,2013,82.0,8.0,82.0,83430,1.01
640,All About Eve,1950,98.0,8.2,98.0,122778,0.01
641,Open Your Eyes,1997,,7.7,,64976,0.37
642,The Straight Story,1999,86.0,8.0,86.0,83583,6.2
643,Dara of Jasenovac,2020,,8.3,,34692,
644,50/50,2011,72.0,7.6,72.0,318474,35.01
645,Black Book,2006,71.0,7.7,71.0,73580,4.4
646,Kubo and the Two Strings,2016,84.0,7.8,84.0,120470,48.02
647,King Kong,1933,90.0,7.9,90.0,80668,10.0
648,Run Lola Run,1998,77.0,7.7,77.0,190295,7.27
649,Shane,1953,80.0,7.6,80.0,37845,20.0
650,The Bridges of Madison County,1995,69.0,7.6,69.0,74944,71.52
651,Me and Earl and the Dying Girl,2015,74.0,7.7,74.0,125354,6.74
652,The Night of the Hunter,1955,99.0,8.0,99.0,83525,0.65
653,Barton Fink,1991,69.0,7.7,69.0,115055,6.15
654,High Noon,1952,89.0,8.0,89.0,98815,9.45
655,Dial M for Murder,1954,75.0,8.2,75.0,161910,0.01
656,The Wave,2008,,7.6,,104429,
657,Ray,2004,73.0,7.7,73.0,140546,75.33
658,Double Indemnity,1944,95.0,8.3,95.0,146450,5.72
659,Three Colors: Red,1994,100.0,8.1,100.0,93491,4.04
660,Anatomy of a Murder,1959,95.0,8.0,95.0,61086,11.9
661,The Third Man,1949,97.0,8.1,97.0,161650,0.45
662,The Quiet Man,1952,,7.8,,35709,10.55
663,The Treasure of the Sierra Madre,1948,98.0,8.2,98.0,116454,5.01
664,Vikram Vedha,2017,,8.4,,31077,
665,Belle de Jour,1967,,7.7,,41225,0.03
666,Once,2007,88.0,7.8,88.0,111928,9.44
667,Beasts of No Nation,2015,79.0,7.7,79.0,75710,0.08
668,The Hustler,1961,90.0,8.0,90.0,76223,8.28
669,The Maltese Falcon,1941,96.0,8.0,96.0,150811,2.11
670,Drishyam,2015,,8.2,,74068,0.74
671,The Wind Rises,2013,83.0,7.8,83.0,76401,5.21
672,Nosferatu,1922,,7.9,,90168,
673,Castle in the Sky,1986,78.0,8.0,78.0,153574,
674,On Golden Pond,1981,68.0,7.6,68.0,28334,119.29
675,The Chaser,2008,64.0,7.8,64.0,60241,
676,Paprika,2006,81.0,7.7,81.0,73743,0.88
677,Rashomon,1950,98.0,8.2,98.0,155996,0.1
678,Sabrina,1954,72.0,7.7,72.0,60631,
679,Strangers on a Train,1951,88.0,8.0,88.0,125047,7.63
680,The Great Dictator,1940,,8.4,,207255,0.29
681,Escape from Alcatraz,1979,76.0,7.6,76.0,124403,43.0
682,Breathless,1960,,7.8,,74949,0.34
683,My Left Foot,1989,97.0,7.9,97.0,69667,14.74
684,Pride,2014,79.0,7.8,79.0,52921,
685,The Killing Fields,1984,76.0,7.8,76.0,52544,34.7
686,Rope,1948,73.0,8.0,73.0,132436,
687,East of Eden,1955,72.0,7.9,72.0,41320,
688,Paper Moon,1973,77.0,8.1,77.0,43130,30.93
689,All That Jazz,1979,72.0,7.9,72.0,28853,37.82
690,Manhattan,1979,83.0,7.9,83.0,133174,45.7
691,Zulu,1964,77.0,7.7,77.0,36745,
692,La Dolce Vita,1960,95.0,8.0,95.0,68152,19.52
693,The Tenant,1976,71.0,7.7,71.0,40951,1.92
694,The Grapes of Wrath,1940,96.0,8.1,96.0,86582,0.06
695,The Secret World of Arrietty,2010,80.0,7.6,80.0,83643,19.2
696,Cape Fear,1962,76.0,7.7,76.0,26956,
697,Wings of Desire,1987,79.0,8.0,79.0,66219,3.33
698,A Man Called Ove,2015,70.0,7.7,70.0,49240,3.36
699,La Vie En Rose,2007,66.0,7.6,66.0,83742,10.3
700,Where Eagles Dare,1968,63.0,7.6,63.0,52963,
701,Three Colors: Blue,1993,85.0,7.9,85.0,92562,1.32
702,Letters from Iwo Jima,2006,89.0,7.9,89.0,155632,13.76
703,Zindagi Na Milegi Dobara,2011,,8.2,,70078,3.11
704,Fanny and Alexander,1982,100.0,8.1,100.0,58760,4.97
705,Amour,2012,94.0,7.9,94.0,94810,6.74
706,Breaking the Waves,1996,76.0,7.8,76.0,63452,4.04
707,The Long Goodbye,1973,87.0,7.6,87.0,27135,0.96
708,It Happened One Night,1934,87.0,8.1,87.0,96168,4.36
709,Good Bye Lenin!,2003,68.0,7.7,68.0,139854,4.06
710,From Here to Eternity,1953,85.0,7.6,85.0,44162,30.5
711,Pink Floyd: The Wall,1982,47.0,8.0,47.0,77193,22.24
712,Infernal Affairs,2002,75.0,8.0,75.0,119132,0.17
713,Repulsion,1965,91.0,7.7,91.0,49815,
714,Being There,1979,83.0,8.0,83.0,66999,30.18
715,25th Hour,2002,68.0,7.6,68.0,171431,13.06
716,"Spring, Summer, Fall, Winter... and Spring",2003,85.0,8.0,85.0,78714,2.38
717,Notorious,1946,100.0,8.0,100.0,93723,10.46
718,The Philadelphia Story,1940,96.0,7.9,96.0,64675,
719,Mirror,1975,80.0,8.1,80.0,41350,0.18
720,A Prophet,2009,90.0,7.9,90.0,94914,2.08
721,Detachment,2011,52.0,7.7,52.0,78922,0.07
722,The 400 Blows,1959,,8.1,,108202,
723,What Ever Happened to Baby Jane?,1962,75.0,8.1,75.0,51343,4.05
724,Patton,1970,91.0,7.9,91.0,94937,61.7
725,Hannah and Her Sisters,1986,90.0,7.9,90.0,68233,40.08
726,Harold and Maude,1971,62.0,7.9,62.0,72065,
727,"I, Daniel Blake",2016,78.0,7.9,78.0,55691,0.26
728,To Have and Have Not,1944,90.0,7.8,90.0,31720,
729,Hamlet,1996,,7.7,,36378,4.41
730,The Verdict,1982,77.0,7.7,77.0,36954,54.0
731,Yojimbo,1961,,8.2,,113836,
732,Adam's Apples,2005,51.0,7.8,51.0,46995,0.0
733,Bicycle Thieves,1948,,8.3,,150261,0.33
734,Short Cuts,1993,79.0,7.7,79.0,42847,6.11
735,A Christmas Story,1983,77.0,7.9,77.0,133922,20.61
736,Laura,1944,,8.0,,43540,4.36
737,In a Lonely Place,1950,,8.0,,27756,
738,Victoria,2015,77.0,7.6,77.0,54651,
739,The African Queen,1951,91.0,7.8,91.0,72702,0.54
740,Philomena,2013,77.0,7.6,77.0,95608,37.71
741,Mysterious Skin,2004,73.0,7.6,73.0,66577,0.7
742,Nebraska,2013,87.0,7.7,87.0,113866,17.65
743,Cat on a Hot Tin Roof,1958,84.0,8.0,84.0,46236,17.57
744,Dead Man's Shoes,2004,52.0,7.6,52.0,50469,0.01
745,Porco Rosso,1992,83.0,7.7,83.0,80582,
746,Sympathy for Mr. Vengeance,2002,56.0,7.6,56.0,64059,0.05
747,Gaslight,1944,,7.8,,25424,
748,Whisper of the Heart,1995,75.0,7.9,75.0,54491,
749,Andrei Rublev,1966,,8.1,,48633,0.1
750,The Double Life of Véronique,1991,86.0,7.8,86.0,43847,2.0
751,Baahubali: The Beginning,2015,,8.0,,105772,6.74
752,Fantastic Planet,1973,73.0,7.8,73.0,26712,0.19
753,All About My Mother,1999,87.0,7.9,87.0,90992,8.26
754,The Killing,1956,91.0,8.0,91.0,83183,
755,My Name Is Khan,2010,50.0,8.0,50.0,100782,4.02
756,The Lion in Winter,1968,,7.9,,29474,22.28
757,Waking Life,2001,83.0,7.8,83.0,61483,2.89
758,"South Park: Bigger, Longer & Uncut",1999,73.0,7.7,73.0,194102,52.04
759,Article 15,2019,,8.2,,25452,
760,The Big Sleep,1946,,7.9,,79778,6.54
761,The Day the Earth Stood Still,1951,,7.7,,76952,
762,Shadow of a Doubt,1943,94.0,7.8,94.0,60770,
763,High and Low,1963,,8.4,,36795,
764,Ikiru,1952,,8.3,,70739,0.06
765,Death Note,2006,,7.7,,29026,
766,Drishyam,2013,,8.3,,35928,
767,Swades,2004,,8.2,,85118,1.22
768,Kal Ho Naa Ho,2003,54.0,7.9,54.0,64800,1.79
769,Children of Heaven,1997,77.0,8.3,77.0,67559,0.93
770,Hedwig and the Angry Inch,2001,85.0,7.7,85.0,32371,3.03
771,Loving Vincent,2017,62.0,7.8,62.0,52486,6.74
772,Fantasia,1940,96.0,7.7,96.0,90127,76.41
773,City Lights,1931,99.0,8.5,99.0,171460,0.02
774,All Quiet on the Western Front,1930,91.0,8.1,91.0,58005,3.27
775,Loveless,2017,86.0,7.6,86.0,30799,0.57
776,Lagaan: Once Upon a Time in India,2001,84.0,8.1,84.0,106975,0.07
777,Ace in the Hole,1951,72.0,8.1,72.0,32450,3.97
778,Key Largo,1948,,7.8,,37630,
779,K.G.F: Chapter 1,2018,,8.2,,41089,
780,Secrets & Lies,1996,91.0,8.0,91.0,38779,13.42
781,Delicatessen,1991,66.0,7.6,66.0,81630,1.79
782,The Muppet Movie,1979,74.0,7.6,74.0,33504,76.66
783,Perfect Strangers,2016,,7.8,,59072,
784,Once Were Warriors,1994,77.0,7.9,77.0,31989,2.2
785,The Motorcycle Diaries,2004,75.0,7.8,75.0,97943,16.76
786,Freaks,1932,80.0,7.9,80.0,42765,
787,The Legend of 1900,1998,58.0,8.1,58.0,60147,0.26
788,Watership Down,1978,64.0,7.6,64.0,34350,
789,A Man for All Seasons,1966,72.0,7.7,72.0,32160,28.35
790,Shine,1996,87.0,7.7,87.0,52002,35.81
791,In a Better World,2010,65.0,7.6,65.0,38890,1.01
792,Guess Who's Coming to Dinner,1967,63.0,7.8,63.0,40701,56.7
793,Rockstar,2011,,7.7,,40681,0.99
794,The Diving Bell and the Butterfly,2007,92.0,8.0,92.0,104284,5.99
795,"Aguirre, the Wrath of God",1972,,7.9,,53454,
796,Wild Strawberries,1957,88.0,8.2,88.0,98942,
797,The Kid,1921,,8.3,,116527,5.45
798,Lilya 4-Ever,2002,82.0,7.8,82.0,43344,0.18
799,The Man Who Would Be King,1975,91.0,7.8,91.0,45935,
800,A Very Long Engagement,2004,76.0,7.6,76.0,71477,6.17
801,Ninja Scroll,1993,,7.9,,35176,
802,3-Iron,2004,72.0,8.0,72.0,51830,0.24
803,Night on Earth,1991,68.0,7.7,68.0,56570,2.02
804,Mr. Smith Goes to Washington,1939,73.0,8.1,73.0,108874,9.6
805,Scarface,1932,87.0,7.8,87.0,25878,
806,The Sacrifice,1986,,8.1,,25408,0.3
807,Talk to Her,2002,86.0,7.9,86.0,105907,9.28
808,Gully Boy,2019,65.0,8.0,65.0,33708,5.57
809,Song of the Sea,2014,85.0,8.1,85.0,53680,0.86
810,Land of Mine,2015,75.0,7.8,75.0,37148,0.44
811,The Conformist,1970,100.0,8.0,100.0,27936,0.54
812,When Marnie Was There,2014,72.0,7.7,72.0,34642,0.77
813,The Adventures of Robin Hood,1938,97.0,7.9,97.0,47902,3.98
814,Batman: Mask of the Phantasm,1993,,7.8,,45009,5.62
815,Time of the Gypsies,1988,,8.2,,28336,0.28
816,The Vanishing,1988,,7.7,,34699,
817,Throne of Blood,1957,,8.1,,47928,
818,Gilda,1946,,7.7,,28679,
819,Dil Chahta Hai,2001,,8.1,,67998,0.3
820,Control,2007,78.0,7.7,78.0,62358,0.87
821,Wait Until Dark,1967,81.0,7.8,81.0,28272,17.55
822,The Odd Couple,1968,86.0,7.7,86.0,32319,44.53
823,The Tale of The Princess Kaguya,2013,89.0,8.0,89.0,40640,1.51
824,Stalag 17,1953,84.0,8.0,84.0,51599,
825,Fitzcarraldo,1982,,8.1,,32364,
826,Frost/Nixon,2008,80.0,7.7,80.0,104374,18.59
827,The White Ribbon,2009,82.0,7.8,82.0,69772,2.22
828,Talvar,2015,,8.2,,32177,0.34
829,Tokyo Story,1953,,8.2,,55124,
830,Bringing Up Baby,1938,91.0,7.9,91.0,56192,
831,Elite Squad,2007,33.0,8.0,33.0,99376,0.01
832,The Little Prince,2015,70.0,7.7,70.0,57992,1.34
833,The Lunchbox,2013,76.0,7.8,76.0,51964,4.23
834,Pink,2016,,8.1,,40765,1.24
835,The Salesman,2016,85.0,7.8,85.0,53179,2.4
836,The World's Fastest Indian,2005,68.0,7.8,68.0,52643,5.13
837,A Hard Day's Night,1964,96.0,7.6,96.0,40990,13.78
838,Duck You Sucker,1971,77.0,7.6,77.0,30888,0.7
839,Le Samouraï,1967,,8.1,,46768,0.04
840,The Ladykillers,1955,91.0,7.7,91.0,27228,
841,Underground,1995,,8.1,,55927,0.17
842,Three Colors: White,1994,88.0,7.6,88.0,66472,1.46
843,Leviathan,2014,92.0,7.6,92.0,50436,1.09
844,Amarcord,1973,,7.9,,40731,0.58
845,After the Wedding,2006,78.0,7.7,78.0,32866,0.41
846,Autumn Sonata,1978,,8.2,,29010,
847,The Thin Man,1934,86.0,8.0,86.0,27263,
848,Diabolique,1955,,8.1,,62359,
849,Uri: The Surgical Strike,2018,,8.2,,45591,4.19
850,Peeping Tom,1960,,7.7,,32283,0.08
851,Ivan's Childhood,1962,,8.1,,32801,
852,Kahaani,2012,,8.1,,58928,1.04
853,The Cabinet of Dr. Caligari,1920,,8.1,,58560,
854,Wolf Children,2012,71.0,8.1,71.0,40155,
855,The Station Agent,2003,81.0,7.6,81.0,67973,5.74
856,Hard Boiled,1992,,7.8,,47440,
857,Baby,2015,,8.0,,53832,
858,Cowboy Bebop: The Movie,2001,61.0,7.9,61.0,43837,1.0
859,The Broken Circle Breakdown,2012,70.0,7.7,70.0,39905,0.18
860,The Sea Inside,2004,74.0,8.0,74.0,78577,2.09
861,Invasion of the Body Snatchers,1956,92.0,7.7,92.0,45721,
862,Crimes and Misdemeanors,1989,77.0,7.9,77.0,55534,18.25
863,Red River,1948,,7.8,,28789,
864,The Bride of Frankenstein,1935,95.0,7.8,95.0,44226,4.36
865,Kind Hearts and Coronets,1949,,8.0,,35053,
866,Evil,2003,61.0,7.8,61.0,36110,0.02
867,Rififi,1955,97.0,8.1,97.0,30609,0.06
868,Baahubali 2: The Conclusion,2017,,8.2,,78161,20.19
869,Hera Pheri,2000,,8.2,,59285,
870,Taste of Cherry,1997,80.0,7.7,80.0,25381,0.31
871,Sunrise,1927,,8.1,,47685,0.54
872,M.S. Dhoni: The Untold Story,2016,,7.9,,43237,1.78
873,Out of the Past,1947,,8.0,,33608,
874,The Message,1976,,8.2,,44764,
875,The Hidden Fortress,1958,,8.1,,35791,
876,Brief Encounter,1945,92.0,8.0,92.0,36809,
877,The Return,2003,82.0,8.0,82.0,43347,0.5
878,The Experiment,2001,60.0,7.7,60.0,91557,0.14
879,Haider,2014,,8.1,,51265,0.9
880,The Red Shoes,1948,,8.1,,31774,10.9
881,Fearless,2006,70.0,7.6,70.0,73496,24.63
882,Badhaai Ho,2018,,8.0,,29356,
883,Chhichhore,2019,,8.3,,37966,0.9
884,Munna Bhai M.B.B.S.,2003,,8.1,,75607,
885,Dilwale Dulhania Le Jayenge,1995,,8.1,,64953,
886,Tangerines,2013,73.0,8.2,73.0,42633,0.14
887,"Black Cat, White Cat",1998,73.0,8.1,73.0,51606,0.35
888,The Wages of Fear,1953,85.0,8.1,85.0,56035,
889,Harvey,1950,,7.9,,53097,
890,Queen,2013,,8.2,,61743,1.43
891,Rang De Basanti,2006,,8.1,,114279,2.2
892,The Lady Vanishes,1938,98.0,7.8,98.0,48531,
893,Persepolis,2007,90.0,8.0,90.0,90108,4.45
894,The Battle of Algiers,1966,96.0,8.1,96.0,54667,0.06
895,Only Yesterday,1991,90.0,7.6,90.0,28361,0.45
896,The Bandit,1996,,8.2,,65959,
897,The Secret of Kells,2009,81.0,7.6,81.0,32938,0.69
898,The Chorus,2004,56.0,7.9,56.0,58540,3.64
899,Head-On,2004,78.0,7.9,78.0,52041,
900,The 39 Steps,1935,93.0,7.7,93.0,53069,
901,Down by Law,1986,75.0,7.7,75.0,48743,1.44
902,Special 26,2013,,8.0,,52202,1.08
903,Cries & Whispers,1972,,8.1,,31088,1.74
